#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	 تنوين النصب للجمع 	شرح	
126	أَحَقُّ		حقق		اسم تفضيل			مذكر	حُقَّى		مفرد	+ون;أحاقق;مؤ:;حقّى;+ات			DnN		Pm										Non	"أَحَقُّ-أَحَقُّ [ح ق ق] (أَفْعَلُ التَّفْضِيلِ). 1. ""هُوَ أحَقُّ مِنْكَ"": ثُبُوتُ الحَقِّ لَكمَا وَتَرْجيحُهُ لَهُ، أَيْ هُوَ أَرْجَحُ حَقّاً مِنْكَ. 2.""هُوَ أَحَقُّ بِأن يَتَصَرَّفَ فِي أُمُورنَا"" : لاَ حَقَّ لِغَيْرِهِ فِيهَا."	
127	أَحَاقِقُ		حقق		اسم تفضيل			مذكر			جمع																Non		
128	حُقَّى		حقق		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
129	أَخَصُّ		خصص		اسم تفضيل			مذكر	خُصَّى		مفرد	+ون;أخاصص;مؤ:;خصّى;+ات			DnN		Pm										Non	"أَخَصُّ-أَخَصُّ [خ ص ص] (أَفْعَلُ التَّفْضِيلِ). ""هُوَ الأَخَصُّ"	
130	أَخَاصِصُ		خصص		اسم تفضيل			مذكر			جمع																Non		
131	خُصَّى		خصص		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
132	أخْيَرُ		خير		اسم تفضيل			مذكر	خُيْرَى		مفرد	+ون;أَخَايِرُ;			DnN		Pm										Non	"(أَفْعَلُ التَّفْضِيلِ). ""هُوَ مِنْ أَخْيَرِ النَّاسِ"" : مِنْ أفْضَلِهِمْ."	
133	أَخَايِرُ		خير		اسم تفضيل			مذكر			جمع																Non		
134	خُيْرَى		خير		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
135	أَرْجَحُ		رجح		اسم تفضيل			مذكر	رُجْحَى		مفرد	أراجح;مؤ:;رجحى;+ات															Non	"أَرْجَحُ-أَرْجَحُ [ر ج ح] (أَفْعَلُ التَّفْضِيلِ). 1.""الأرْجَحُ أَنَّ نَتَائِجَهُ سَتَكُونُ جَيِّدَةً"" : أَغْلَبُ الظَّنِّ. 2.""عَلَى الأرْجَحِ إِنَّنَا سَنُسَافِرُ إِلَى أُورُوبَّا"" : مِنَ الْمُحْتَمَلِ."	
136	أَرَاجِحُ		رجح		اسم تفضيل			مذكر			جمع																Non		
137	رُجْحَى		رجح		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
138	أَرْوَعُ		روع		اسم تفضيل			مذكر	رَوْعَاءُ		مفرد	رُوِعٌ;مؤ:;رَوْعَاءُ;															Non	"(أَفْعَلُ التَّفْضِيلِ). 1. ""وَلَدٌ أَرْوَعُ"" : ذَكِيُّ الْفُؤَادِ. 2. ""مَا رَأَيْتُ أَرْوَعَ مِنْ هَذَا الْمَنْظَرِ"" : أَحْسَنَ، أَجْمَلَ، أَبْهَى. 3.""مَا أَرْوَعَكَ"" : عِبَارَةٌ تُقَالُ لِمَنْ يَأْتِي بِعَمَلٍ رَائِعٍ وَجَمِيلٍ يُثِيرُ الإِعْجَابَ."	
139	رُوِعٌ		روع		اسم تفضيل			مذكر			جمع								Tn										
140	رَوْعَاءُ		روع		اسم تفضيل			مؤنث			مفرد																Non		
141	أغْلَبُ		غلب		اسم تفضيل			مذكر	غَلْبَاءُ		مفرد	ج;غُلْبٌ;مؤ;غَلْبَاءُ;															Non	"(أَفْعَلُ التَّفْضِيلِ). 1. ""فِي أغْلَبِ الأَحْيَانِ"" : فِي أكْثَرِ الأوْقَاتِ. 2.""عَلَى الأغْلَبِ يَأْتِي مَرَّة"	
142	غُلْبٌ		غلب		اسم تفضيل			مذكر			جمع								Tn										
143	غَلْبَاءُ		غلب		اسم تفضيل			مؤنث			مفرد																Non		
144	أَفْرَهُ		فره		اسم تفضيل			مذكر	فُرْهَى		مفرد	+ون			DnN		Pm										Non	"أَفْرَهُ-أَفْرَهُ [ف ر هـ] (أَفْعَلُ التَّفْضِيلِ). ""هُو"	
145	أَفَارِهُ		فره		اسم تفضيل			مذكر			جمع																Non		
146	فُرْهَى		فره		اسم تفضيل			مؤنث			مفرد	+ات			Dy	Pf											Non		
