#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنون النصب للجمع	شرح
332	لُبَابٌ		لبب		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"لُبَابٌ-لُبَابٌ [ل ب ب]. 1.""نَسَبٌ لُبَابٌ"" : خَالِصٌ، أَصِيلٌ. ""هُوَ لُبَابُ قَوْمِهِ"" ""هِيَ لِبَابُ قَوْمِهَا"" ""هُمْ لِبَابُ قَوْمِهِمْ. 2.""لُبَابُ اللَّوْزِ"" : الثَّمَرَةُ الَّتِي تُؤْكَلُ وَهِيَ تَحْتَ القِشْرَةِ. 3.""لُبَابُ الخُبْزِ"" : مَا يَكُونُ بِدَاخِلِهِ طَرِيّاً."
333	لُبْلُبٌ		لبلب		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"لُبْلُبٌ-لُبْلُبٌ [ل ب ل ب]. 1. ""وَلَدٌ لُبْلُبٌ"" : يُحْسِنُ مُعَامَلَةَ أَهْلِهِ عَنْ حُبٍّ. 2.""جَارٌ لُبْلُبٌ"" : مُحْسِنٌ لِجِيرَانِهِ."
334	لُجَاجٌ		لجج		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"لُجَاجٌ-لُجَاجٌ [ل ج ج]. ""بَحْرٌ لُجَاجٌ"" : وَاسِعُ اللُّجِّ."
335	لُجَّةٌ		لجج		صفة			مذكر			مفرد	لُجٌّ;لَجَجٌ;لِجَاجٌ			DnN				Tn									". 1.""لُجَّةُ البَحْرِ"": مُعْظَمُهُ وَتَرَدُّدُ أَمْوَاجِهِ وَتَلاَطُمُهَا. 2.""عَالِمٌ لُجَّةٌ وَاسِعَةٌ"" : أَيْ شَبِيهٌ بِالبَحْرِ فِي سَعَتِهِ. 3.""لُجَّةُ الظَّلاَمِ"" : شِدَّةُ سَوَادِهِ. ""كَأَنَّ عَيْشَهُ لُجَّةٌ""."
336	لُجٌّ		لجج		صفة			مذكر			جمع																	
337	لَجَجٌ		لجج		صفة			مذكر			جمع																	
338	لِجَاجٌ		لجج		صفة			مذكر			جمع																	
339	لَجْلاَجٌ		لجلج		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"لَجْلاَجٌ-لَجْلاَجٌ [ل ج ل ج]. ""طِفْلٌ لَجْلاَجٌ"" : ثَقِيلُ اللِّسَانِ، يَتَلَعْثَمُ فِي كَلاَمِهِ."
340	لُحْنَةٌ		لحن		صفة			مذكر			مفرد								Tn									"لُحَنَةٌ-لُحَنَةٌ [ل ح ن]. ""قَارِئٌ لُحَنَةٌ"" :كَثِيرُ اللَّحْنِ، أَوْ مَنْ يُخَطِّئُ النَّاسَ كَثِيراً."
341	لَزِجٌ		لزج		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"لَزِجٌ، ةٌ - [ل ز ج]. ""مَادَّةٌ لَزِجَةٌ"" : مَادَّةٌ سَائِلَةٌ سَرِيعَةُ الإِلْصَاقِ. ""قَطَرَاتُ العَرَقِ عَلَى ظَاهِرِ اليَدِ سَاخِنَةٌ لَزِجَةٌ"". (عبد الحكيم قاسم). "
