#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج. مؤ. س.	ج. مذ. س.	المنقوص	تنوين النصب	نسب	إض. لف.	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
2728	عُيَّلٌ	عيل	عول								جمع		عَائِلٌ						Tn									
6428	مُعَوِّلٌ	معول	عول	مُفَعِّلٌ	فاعل	عَوَّلَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
6429	مُعَوْلِمٌ	معولم	عولم	مُفَعْلِلٌ	فاعل	عَوْلَمَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
2732	عَائِمٌ	عائم	عوم		فاعل	عَامَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. مِنْ عَامَ). 1. ""عَائِمٌ فِي الْمَاءِ"" : سَابِحٌ فِي"
2733	عَوَائِمٌ	عوائم	عوم								جمع		عَائِمٌ														Non	
1075	مُتَعَاوِنٌ	متعاون	عون		فاعل	تَعَاوَنَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِنْ تَعَاوَنَ). 1.""مُتَعَاوِنٌ مَعَهُ"" : مُؤَازِرٌ لَهُ وَمُشَارِكٌ لَهُ فِي عَمَلٍ مَّا. 2.""مُتَعَاوِنٌ مَعَ العَدُوِّ"" :"
2736	مُعَاوِنٌ	معاون	عون		فاعل	عَاوَنَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"مُعَاوِنٌ-مُعَاوِنٌ [ع و ن] (فَا. مِن عَاوَنَ). ""مُعَاوِنٌ لَهُ فِي أَعْمَالِهِ"" : مُسَاعِدٌ لَهُ."
2940	عَاوِي	عاوي	عوي		فاعل	عَوَى		مذكر			مفرد	+ات 		Ta	DnT	Pf		Tk	Tn									"(فا. مِنْ عَوَى). ""سِبَاعٌ ضَارِيَةٌ وَكِلاَبٌ عَاوِيَةٌ"" : نَابِحَةٌ."
2709	عَائِبٌ	عائب	عيب		فاعل	عَابَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. مِن عَابَ). 1.""عَائِبُ الشَّيْءِ"" : مَنْ يَجِدُ فِي كُلِّ شَيْءٍ عَيْباً، مَنْ"
2710	عَوَائِبٌ	عوائب	عيب								جمع		عَائِبٌ														Non	
5514	مُتَعَايِبٌ	متعايب	عيب	مُتَفَاعِلٌ	فاعل	تَعَايَبَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
6430	مُعَيِّبٌ	معيب	عيب	مُفَعِّلٌ	فاعل	عَيَّبَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
2737	مُعَايِرٌ	معاير	عير		فاعل	عَايَرَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						مُعَايِرٌ-مُعَايِرٌ، ةٌ [ع ي ر] (فَا. مِن عَايَر
5515	مُتَعَايِرٌ	متعاير	عير	مُتَفَاعِلٌ	فاعل	تَعَايَرَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
1093	مُتَعَيِّشٌ	متعيش	عيش		فاعل	تَعَيَّشَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِنْ تَعَيَّشَ). ""مُتَعَيِّشٌ بِمَا رَزَقَهُ اللهُ"" : يَعِيشُ بِأَقَلِّ مَا يُمْكِنُ."
2718	عَائِشٌ	عائش	عيش		فاعل	عَاشَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. مِنْ عَاشَ). 1.""هُوَ رَجُلٌ عَائِشٌ"" : مَنْ يَعِيشُ عِيشَةً هَنِيَّةً حَسَنَةً. 2.""عَائِشٌ طُولَ حَيَا"
2719	عَيْلَى	عيلى	عيش								جمع		عَائِلٌ														Non	
2720	عَوَائِشٌ	عوائش	عيش								جمع		عَائِشٌ														Non	
5516	مُتَعَايِشٌ	متعايش	عيش	مُتَفَاعِلٌ	فاعل	تَعَايَشَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
6388	مُعَايِشٌ	معايش	عيش	مُفَاعِلٌ	فاعل	عَايَشَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
500	مُعِيقٌ	معيق	عيق		فاعل	أَعَاقَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِن أَعَاقَ). ""مُعِيقٌ عَنِ العَمَلِ"" : مَانِعٌ لَهُ، مُثَبِّطٌ."
502	مُعِينٌ	معين	عين		فاعل	أَعَانَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِن أَعَانَ) ""هُوَ مُعِينُهُ"" : مُسَاعِدُهُ. ""اللَّهُ الْمُعِينُ""."
2738	مُعَايِنٌ	معاين	عين		فاعل	عَايَنَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِن عَايَنَ). ""مُعَايِنٌ لِمَا حَدَثَ"" : مُشَاهِدٌ."
2739	عَبَدَةٌ	عبدة	عين								جمع		عَابِدٌ						Tn									
2740	عَوَابِئٌ	عوابئ	عين								جمع		عَابِئٌ														Non	
2741	عُبََّاءٌ	عباء	عين								جمع		عَابِءٌ														Non	
2742	عَبَأَةٌ	عبأة	عين								جمع		عَابِأٌ						Tn									
